i,Perm = 0.0001,Perm = 0.001,Perm = 0.005,Perm = 0.008,Perm = 0.01,Perm = 0.02,Perm = 0.05,Perm = 0.1,Perm = 0.5,Perm = 1
1,0,0,0,0,0,0,0,,,
2,0,0,0,0,0,0,0,,,
3,103.103715568413,97.027805135564,80.4233230720936,69.9005710310223,63.255164791784,33.8001520404271,19.1015632976042,,,
4,349.064575951541,332.816923803271,285.645315273942,253.941324431543,233.392785993874,204.252651821547,201.292859368242,,,
5,306.681299951336,286.72987634541,227.019718154322,186.49243560534,182.796373681067,181.252870979225,182.323390218669,,,
6,270.401163963031,247.778285561352,178.193266325976,158.512198963641,159.270524191307,163.067627328494,164.56319224985,,,
7,241.421131138355,216.601669332618,142.536083585869,141.409356155041,143.315254270194,147.805154000693,149.150525326272,,,
8,218.966297661008,192.144683614251,124.94702274273,129.154622025083,131.16826814392,135.214417415463,136.332988785564,,,
9,201.808544688192,173.039040586392,114.283188302404,119.824530535594,121.622860808412,125.00730149268,125.914006703556,,,
10,188.775919598129,158.044622853729,107.12800114722,112.561457123525,114.072535139975,116.825668034503,117.552182639359,,,
11,178.889449472422,146.154768213849,102.043575967087,106.86568876346,108.101758113896,110.313212327167,110.891595117605,,,
12,171.371774113964,136.590385823198,98.3025772876438,102.38994247494,103.387557917696,105.151997183393,105.610624417388,,,
13,165.618171463386,128.761426488617,95.4902413700547,98.8711733186068,99.670399839147,101.072684965343,101.435480947503,,,
14,161.161815219408,122.223821320972,93.3453894172743,96.1029311027046,96.7405993055329,97.8528067908541,98.1395105960235,,,
15,157.643172301646,116.642827356728,91.6899733344897,93.9208152512403,94.4287646087559,95.3107944055829,95.5375310563194,,,
16,154.78558794973,111.765186970527,90.3953881450025,92.1930103672932,92.5980547360026,93.2992098902075,93.4790972151602,,,
17,152.376549264121,107.399079713353,89.3650325397433,90.8133974759846,91.1378355859909,91.6985142898621,91.8422094444972,,,
18,150.253493842569,103.399580074136,88.5244919673138,89.6963118824815,89.958559219134,90.4117847103447,90.5279441559608,,,
19,148.293057530654,99.6580760824532,87.8155512708521,88.7724913271829,88.9876853669685,89.3604048275475,89.4560592216301,,,
